User ID,family member,seasons,weekly,monthly,by cycle
47569,9,Winter,4.82,19.06,52.44
31697,6,Summer,5.09,24.42,78.88
61002,2,Autumn,1.39,5.45,19.89
87900,4,Autumn,2.20,10.35,31.08
57473,3,Winter,1.47,6.33,19.81
62247,8,Summer,9.09,32.73,110.08
74754,5,Summer,4.95,22.32,75.99
84088,9,Winter,4.26,18.57,53.68
49287,4,Autumn,2.72,12.22,32.67
51084,7,Autumn,4.84,20.69,66.49
20694,6,Summer,5.46,25.41,70.31
23910,5,Winter,2.96,12.88,34.78
26988,7,Spring,6.47,29.64,72.53
97981,4,Winter,2.01,10.72,29.60
65778,9,Summer,7.91,34.68,115.05
11494,7,Autumn,4.60,19.07,63.18
30330,3,Spring,2.74,10.36,36.45
94513,8,Summer,7.87,33.25,103.49
34847,6,Summer,6.21,28.95,72.93
75584,7,Spring,5.40,26.83,79.32
24726,8,Autumn,5.39,24.85,72.18
39185,7,Spring,5.76,22.52,66.56
90121,8,Summer,8.62,33.37,105.28
34949,4,Autumn,2.54,10.46,36.33
34158,2,Summer,2.06,7.22,27.02
74092,4,Spring,3.30,12.96,49.56
80597,2,Summer,1.73,8.19,26.17
37717,3,Summer,2.83,11.58,39.27
13625,8,Spring,7.22,28.71,87.46
74283,6,Winter,3.68,13.81,39.95
77254,7,Summer,7.10,30.95,87.98
88225,3,Spring,2.75,12.35,37.41
55177,6,Winter,3.83,14.65,39.42
16848,3,Autumn,2.12,8.06,29.24
62563,3,Summer,2.66,14.90,41.34
42601,5,Autumn,3.78,13.72,42.53
36239,8,Spring,7.54,27.16,89.60
86608,5,Autumn,3.44,15.90,42.08
63565,7,Autumn,4.80,21.07,53.80
88742,2,Winter,1.16,5.13,15.74
27881,6,Autumn,3.56,14.28,55.54
52032,9,Spring,6.50,35.19,84.41
13614,8,Winter,4.32,16.16,55.34
36890,4,Spring,3.97,15.30,40.57
20045,4,Autumn,2.80,13.33,35.10
13295,3,Autumn,2.12,9.03,26.12
94896,5,Spring,4.88,19.75,56.92
35746,2,Spring,1.72,8.33,21.76
38828,4,Spring,3.83,16.97,46.46
53349,6,Summer,6.01,27.42,74.48
97759,9,Spring,7.03,31.76,101.73
22232,5,Spring,4.13,18.62,57.68
28346,9,Winter,5.02,23.71,60.64
59121,2,Spring,1.35,6.96,20.97
63861,6,Autumn,4.11,16.91,50.70
34895,2,Spring,1.50,7.55,21.19
76298,5,Autumn,3.14,11.82,36.39
46613,4,Winter,1.95,9.51,31.54
85187,8,Winter,4.48,18.67,58.05
18656,8,Summer,8.21,33.48,93.68
17935,4,Winter,2.02,9.12,26.00
87455,2,Winter,0.97,4.61,15.88
97608,4,Spring,2.94,15.48,44.02
58802,4,Autumn,3.23,11.79,40.74
98960,7,Autumn,4.64,21.49,65.19
49090,5,Autumn,3.31,14.13,36.45
78794,4,Summer,4.15,16.01,48.34
85614,8,Autumn,5.51,21.68,65.05
37985,4,Autumn,3.03,13.96,34.93
50564,2,Summer,2.04,9.22,27.22
60548,4,Spring,2.74,13.03,36.34
13013,2,Summer,2.02,8.57,29.23
32603,4,Summer,3.96,14.35,53.61
56728,9,Summer,9.13,40.28,121.21
38520,7,Autumn,4.55,20.78,61.92
83936,8,Winter,4.16,17.54,44.91
16498,8,Autumn,5.71,25.38,73.18
42612,2,Summer,2.07,8.35,28.40
98719,5,Spring,4.18,16.70,61.39
31563,7,Winter,4.37,19.18,53.66
86658,6,Summer,5.87,30.54,86.41
98007,6,Winter,3.09,13.28,40.05
46590,6,Winter,2.58,11.61,40.52
19293,9,Winter,3.76,20.11,54.20
58218,6,Summer,6.34,26.52,88.34
17533,4,Spring,3.49,13.05,36.48
33687,6,Summer,5.99,23.37,76.42
81969,8,Spring,6.61,27.31,86.13
83439,6,Summer,6.53,23.43,73.69
32633,9,Autumn,5.07,28.27,80.46
17671,6,Summer,6.33,27.83,71.92
65512,8,Winter,4.74,17.39,65.38
21104,3,Winter,1.45,5.80,19.41
35121,5,Autumn,3.54,15.14,35.80
45128,7,Summer,7.53,31.75,98.70
72579,7,Autumn,4.80,21.89,64.91
27840,6,Summer,5.72,26.11,74.27
46814,6,Summer,5.38,23.58,63.63
27478,9,Spring,8.16,31.28,90.99
73182,8,Spring,7.81,32.94,101.95
84160,5,Spring,3.69,14.67,44.72
42119,8,Spring,7.94,33.88,83.77
82497,9,Winter,4.42,21.93,61.95
81868,3,Spring,2.56,9.06,26.04
69577,3,Autumn,1.74,7.70,21.08
84224,3,Winter,1.47,5.64,16.50
31387,9,Autumn,6.30,24.29,74.50
16970,2,Autumn,1.47,6.55,16.69
13850,2,Autumn,1.25,5.43,16.82
95845,4,Summer,3.31,14.32,46.78
81384,2,Summer,2.15,8.33,27.59
25242,6,Spring,4.97,25.39,65.35
32526,3,Summer,3.07,11.77,37.61
18978,7,Summer,6.36,25.60,92.24
87554,6,Spring,4.57,23.65,76.90
74578,4,Spring,2.74,12.51,35.18
79544,5,Spring,4.49,19.43,58.02
32928,4,Winter,1.70,8.24,21.40
12483,2,Autumn,1.50,5.86,15.77
63962,2,Winter,1.18,5.05,13.34
74543,3,Summer,3.22,12.48,37.83
21276,7,Winter,4.26,16.54,56.59
52103,5,Summer,4.14,21.91,66.82
25387,2,Summer,1.84,7.71,23.55
23158,8,Autumn,5.70,22.77,71.18
60890,4,Summer,4.18,15.00,51.20
20129,6,Summer,7.04,25.28,72.67
85367,7,Spring,5.15,20.72,81.12
56163,9,Spring,7.66,35.73,98.68
56974,8,Autumn,4.50,19.59,74.64
75966,9,Winter,5.53,19.93,75.05
51161,7,Winter,2.96,13.84,39.59
19940,3,Winter,1.34,5.51,19.68
23497,2,Winter,1.02,3.71,13.75
14956,4,Autumn,2.21,9.48,34.17
40949,3,Winter,1.79,7.50,18.90
13233,4,Spring,3.95,13.12,43.54
69351,5,Spring,4.86,21.09,56.31
15264,2,Spring,1.60,7.86,25.17
87324,5,Summer,5.66,20.15,57.23
21402,5,Autumn,3.55,17.10,46.41
76545,9,Autumn,5.40,24.99,67.65
99697,8,Summer,7.81,34.76,93.42
90914,4,Winter,2.03,9.78,31.09
66186,7,Winter,3.56,13.41,47.62
20399,4,Winter,1.68,9.17,24.72
68275,6,Summer,5.52,29.06,75.06
52640,3,Autumn,2.03,9.50,26.78
59104,7,Winter,4.14,16.95,52.95
26810,7,Autumn,4.32,20.28,62.15
80950,7,Winter,3.46,12.48,45.89
75687,6,Summer,4.93,24.78,76.34
63461,3,Winter,1.28,6.90,17.11
54522,3,Summer,2.92,12.84,41.15
52969,6,Summer,6.08,22.78,66.97
95801,6,Summer,6.40,25.60,89.64
92548,5,Autumn,3.13,13.52,38.01
65347,4,Summer,4.11,15.38,46.38
53940,2,Spring,1.91,6.66,22.98
72027,2,Autumn,1.14,5.36,14.76
14941,4,Winter,2.53,10.51,27.84
54250,8,Autumn,4.61,25.09,61.73
14962,6,Autumn,4.58,16.87,52.25
86503,9,Spring,7.95,29.37,94.73
46523,6,Autumn,4.32,16.64,53.40
46863,8,Summer,7.20,32.55,107.14
12168,6,Winter,2.84,12.33,36.68
45236,5,Spring,4.79,17.40,52.89
32944,4,Summer,3.59,17.99,52.95
18879,8,Winter,5.09,17.31,64.78
62069,4,Winter,1.68,7.40,22.57
37570,6,Spring,4.47,21.59,60.29
82410,9,Summer,8.45,38.21,115.82
95185,3,Winter,1.66,7.64,19.08
13693,7,Spring,5.38,21.97,76.41
94626,6,Spring,4.63,21.85,66.39
13476,3,Winter,1.69,7.01,20.21
15869,8,Spring,6.40,26.22,99.21
91969,5,Winter,2.61,9.29,27.24
33451,6,Autumn,3.71,17.54,53.36
88442,3,Summer,2.83,11.89,32.43
49732,3,Winter,1.81,6.92,18.57
99787,4,Spring,3.40,14.06,37.49
37516,5,Autumn,2.74,15.35,42.99
35114,9,Spring,8.03,36.55,111.94
82264,4,Winter,2.06,9.77,28.84
81437,7,Spring,6.37,26.44,80.55
85525,4,Winter,2.23,8.69,30.60
15371,5,Autumn,3.24,13.29,41.32
19738,3,Summer,2.44,12.99,36.71
85265,8,Summer,6.88,36.02,99.44
26422,4,Spring,3.00,14.65,47.94
58453,5,Autumn,3.62,17.13,42.53
59648,8,Autumn,5.53,19.37,61.64
63190,3,Summer,3.10,13.35,37.37
36245,8,Winter,3.52,14.30,49.34
59038,8,Autumn,4.97,21.89,71.40
86107,4,Summer,3.75,16.86,50.74
94255,9,Spring,7.15,36.58,110.63
74177,8,Autumn,6.02,23.56,69.07
99527,7,Winter,4.22,15.37,56.48
71408,4,Winter,1.67,7.59,22.55
65582,3,Autumn,1.95,8.25,23.27
58392,3,Summer,2.79,12.75,40.88
56636,8,Summer,7.73,39.03,122.27
14118,9,Spring,6.99,32.75,96.87
64442,9,Spring,7.50,33.80,82.76
90385,6,Spring,5.03,21.05,70.37
21628,2,Winter,0.82,3.56,13.16
62617,6,Summer,6.33,24.20,81.20
22621,8,Autumn,5.61,25.99,78.74
73464,6,Spring,5.31,24.53,77.32
89500,8,Spring,6.57,24.38,92.61
20148,3,Spring,2.09,9.31,34.38
62532,5,Winter,2.63,10.40,28.30
78726,5,Summer,4.48,19.55,56.30
61596,7,Spring,5.46,28.02,80.45
37688,5,Spring,3.74,18.58,43.90
68095,9,Autumn,6.61,27.43,72.50
66151,9,Spring,7.61,33.57,106.22
81720,7,Summer,7.51,27.25,103.89
65246,7,Winter,3.62,15.09,45.52
73966,5,Summer,4.52,24.62,75.76
67856,9,Summer,9.76,36.68,124.47
74225,8,Summer,6.84,29.82,100.64
72581,8,Winter,4.33,15.45,43.77
93977,7,Winter,3.19,15.31,42.59
95298,6,Autumn,4.03,17.40,52.53
12735,6,Winter,3.21,10.79,33.50
61889,5,Winter,2.26,9.35,26.99
90090,2,Summer,1.94,6.92,25.25
81475,5,Autumn,3.98,15.00,39.61
51304,8,Winter,4.91,18.97,57.13
14222,7,Autumn,4.90,17.99,49.81
46550,2,Autumn,1.47,6.46,16.59
92627,4,Summer,3.85,14.87,50.05
34298,3,Summer,3.00,11.97,42.04
36552,6,Spring,5.01,24.90,61.72
99024,8,Autumn,4.59,20.54,75.44
30214,6,Autumn,3.51,14.77,45.54
47624,4,Winter,1.78,8.76,25.99
44089,6,Winter,3.48,13.03,47.27
99703,8,Spring,6.95,30.85,81.29
23509,8,Winter,4.09,19.85,51.30
93558,4,Autumn,2.36,10.75,32.67
99114,7,Autumn,3.93,21.01,57.92
31928,6,Spring,4.81,21.88,63.55
26283,5,Winter,2.08,9.68,27.68
98595,2,Summer,2.18,9.25,27.92
45265,7,Autumn,4.11,17.70,52.43
57146,8,Autumn,6.17,24.54,67.94
59636,8,Autumn,5.33,24.28,68.57
84295,6,Winter,3.19,12.39,41.46
26282,4,Summer,4.04,16.22,47.93
85484,9,Spring,6.85,29.20,86.24
86661,2,Winter,1.15,4.45,12.42
55094,9,Summer,9.24,36.91,105.62
76729,7,Autumn,4.89,19.01,59.08
17573,3,Winter,1.38,6.22,15.73
87711,8,Winter,4.99,16.93,64.52
87157,6,Winter,2.68,11.44,41.69
30712,9,Autumn,6.24,21.66,84.75
13338,5,Winter,3.14,12.83,33.68
35891,6,Spring,5.24,18.33,54.35
89655,8,Winter,3.55,14.94,55.89
20554,4,Spring,3.44,14.35,42.29
32945,9,Summer,10.84,35.39,138.93
68508,3,Summer,3.00,11.54,33.34
79319,7,Summer,7.25,32.77,89.02
23460,6,Winter,2.73,11.97,38.10
68648,4,Winter,1.81,8.74,25.99
15033,9,Winter,4.41,22.54,63.50
79954,6,Summer,6.97,28.66,79.94
31410,7,Spring,5.97,25.05,89.74
54769,4,Winter,2.10,7.06,21.88
83901,9,Autumn,6.59,30.03,83.19
41833,8,Spring,7.42,28.81,82.20
98685,9,Summer,10.40,45.56,129.24
26189,5,Spring,4.15,20.95,56.79
71207,4,Autumn,3.08,12.66,32.59
13069,3,Summer,2.84,12.78,36.18
26635,8,Spring,5.85,24.40,71.35
88985,3,Summer,2.46,10.76,36.76
46532,7,Winter,3.00,15.27,43.93
15577,5,Spring,4.40,18.78,47.05
33680,8,Spring,6.97,25.08,77.44
64765,6,Winter,3.60,15.46,38.02
58294,3,Autumn,2.40,9.99,23.50
48183,6,Spring,4.88,18.74,58.12
87852,7,Summer,6.02,26.31,96.63
58644,6,Winter,3.61,16.31,44.48
90143,8,Winter,4.44,17.27,60.12
39485,5,Autumn,3.89,16.02,49.93
55867,8,Spring,6.64,23.68,85.25
82241,4,Winter,2.00,8.49,24.52
27920,8,Autumn,5.55,27.71,76.11
50494,4,Summer,4.00,16.27,48.77
18609,6,Summer,5.24,23.23,67.40
94675,6,Winter,3.28,13.96,46.42
12982,8,Summer,8.69,33.72,101.71
87890,5,Summer,4.84,21.47,58.96
72345,7,Summer,6.71,29.05,85.89
62014,8,Summer,8.71,32.07,115.46
59844,3,Winter,1.37,5.89,18.62
56091,5,Spring,3.78,19.72,54.20
25116,2,Spring,1.96,7.14,19.13
14240,3,Spring,2.69,10.08,26.95
70215,8,Winter,4.09,17.62,51.94
44390,7,Autumn,5.05,21.79,59.08
87322,8,Autumn,4.98,20.83,69.86
64071,2,Spring,1.44,6.56,17.37
71748,5,Spring,3.61,15.58,49.99
90086,3,Autumn,2.33,8.39,23.73
30962,8,Summer,7.20,35.67,91.45
28656,9,Autumn,5.41,28.22,74.46
17566,6,Winter,3.18,13.78,38.08
88415,4,Spring,3.89,16.54,42.04
95721,6,Summer,6.69,27.10,78.50
49589,9,Spring,8.21,35.07,104.57
96936,7,Spring,5.31,25.31,77.69
45589,2,Winter,0.92,4.47,13.47
47728,4,Autumn,3.14,12.77,40.78
30914,7,Winter,3.20,15.63,39.57
20462,3,Autumn,1.69,7.29,24.64
67712,9,Spring,6.64,31.45,87.16
37291,5,Autumn,3.44,13.64,46.36
87628,8,Winter,5.11,21.87,50.92
46493,8,Winter,5.03,16.63,57.72
33732,7,Autumn,4.16,19.56,63.63
58513,9,Winter,4.83,16.31,60.02
81757,8,Spring,7.17,28.28,89.85
86092,9,Autumn,5.79,25.46,85.12
75107,6,Summer,5.48,27.72,77.33
53025,8,Spring,5.69,27.12,80.26
70304,5,Winter,2.61,12.22,35.44
17102,2,Spring,1.88,6.62,22.30
22362,6,Autumn,3.95,16.36,53.50
81457,5,Spring,3.58,17.87,44.14
86797,6,Summer,5.89,26.73,82.77
79247,5,Spring,4.52,16.37,49.18
86705,7,Autumn,3.92,18.98,65.02
21656,5,Winter,3.09,13.07,37.60
92613,7,Winter,3.39,15.72,47.47
11829,4,Winter,2.15,10.85,32.20
85287,6,Autumn,4.66,19.52,47.56
57811,4,Spring,2.77,14.19,44.42
56586,8,Autumn,4.81,19.08,69.71
14406,7,Spring,6.85,30.06,90.51
55746,2,Autumn,1.22,4.87,18.05
20050,5,Autumn,2.92,11.82,35.62
75361,6,Autumn,4.41,19.32,48.38
83955,9,Summer,10.56,34.83,108.19
59143,2,Winter,0.93,3.45,10.51
98337,7,Spring,6.11,26.53,78.06
51813,3,Summer,3.04,14.54,34.77
85968,2,Spring,1.68,6.39,19.81
71099,7,Winter,3.99,16.14,48.66
22581,8,Spring,6.83,25.68,75.13
24415,8,Winter,3.75,18.39,50.46
88028,5,Spring,3.59,16.95,47.23
83827,5,Spring,4.36,14.73,50.74
58023,4,Winter,1.87,7.81,22.27
28518,9,Summer,8.42,34.43,115.73
71901,2,Autumn,1.30,5.93,14.21
44002,6,Spring,4.81,21.52,63.48
23089,9,Summer,9.13,46.11,106.36
26591,3,Autumn,1.83,9.60,29.06
90413,9,Winter,3.75,20.10,50.46
25754,3,Winter,1.51,5.23,18.59
19058,9,Summer,8.77,33.14,125.31
38388,3,Spring,2.67,11.18,29.08
30468,3,Spring,2.41,11.01,29.51
49424,7,Winter,3.11,12.39,43.10
51830,5,Spring,4.82,16.32,63.93
80307,6,Autumn,4.06,17.01,54.86
64524,3,Winter,1.48,6.70,22.61
75240,8,Winter,4.33,19.93,53.15
55525,6,Spring,5.02,21.17,73.15
88388,4,Autumn,2.49,13.07,38.58
47543,6,Spring,4.95,20.94,53.98
25097,4,Winter,1.91,7.95,26.07
79743,3,Winter,1.83,6.93,24.12
72958,4,Summer,3.61,16.19,44.66
25629,5,Summer,5.75,22.79,72.84
69604,9,Spring,7.81,31.41,102.95
90825,6,Autumn,4.88,20.95,55.20
65035,8,Summer,8.07,31.68,91.32
34885,3,Winter,1.25,5.40,19.67
23994,9,Summer,8.87,32.39,115.35
23536,7,Winter,3.70,14.98,52.22
86437,9,Spring,7.63,35.72,110.07
78668,8,Winter,5.02,19.56,60.72
96053,5,Autumn,3.80,16.94,44.13
60732,6,Winter,3.30,13.30,47.77
11678,6,Autumn,4.62,19.87,51.69
88051,8,Winter,5.11,20.19,52.45
59504,9,Spring,8.61,35.82,102.81
99091,4,Summer,3.94,16.64,42.80
96695,7,Winter,3.83,14.53,48.47
46420,7,Spring,4.89,27.07,76.79
13767,6,Winter,2.81,13.96,40.08
71850,8,Summer,7.85,34.46,116.80
28935,3,Autumn,1.93,8.71,23.15
87818,6,Winter,3.82,16.27,39.66
16031,2,Summer,2.06,8.51,23.49
89710,3,Summer,3.36,12.57,38.65
77696,5,Winter,2.16,9.37,33.37
50954,3,Spring,2.65,10.31,29.03
24123,6,Spring,5.77,22.03,65.22
71474,7,Spring,6.39,23.92,71.38
54372,7,Summer,7.35,26.11,81.82
19263,6,Summer,6.70,23.13,78.50
96229,5,Autumn,3.58,11.89,39.03
50305,9,Summer,9.67,36.44,127.07
66809,4,Winter,1.92,7.09,27.67
27467,4,Autumn,2.89,12.42,39.47
11590,6,Spring,5.29,22.83,70.21
72353,9,Summer,9.90,35.39,105.58
45784,7,Winter,4.49,15.20,51.29
16587,5,Autumn,3.24,13.58,47.79
61616,2,Spring,1.54,5.84,22.15
83817,3,Autumn,2.12,9.83,29.07
87305,3,Autumn,2.00,9.71,26.28
83923,8,Autumn,5.49,19.21,67.94
13948,6,Summer,6.27,24.94,71.82
52019,5,Spring,3.57,19.35,47.56
55657,2,Summer,2.29,8.11,27.04
35273,6,Winter,3.14,15.52,40.41
47953,5,Summer,4.83,22.89,72.19
93464,6,Winter,2.65,11.60,36.54
32968,7,Spring,5.05,20.93,78.86
54459,9,Winter,4.80,18.80,74.02
65236,3,Summer,3.39,13.48,42.27
83163,7,Winter,3.03,15.92,46.99
78859,9,Spring,8.26,30.89,88.27
47483,6,Summer,5.43,27.06,69.19
97844,9,Summer,8.90,43.91,118.43
30772,6,Spring,4.78,25.33,67.47
21808,6,Winter,3.57,12.37,48.86
75583,6,Spring,5.30,20.47,53.35
61290,2,Autumn,1.13,5.13,18.09
21465,8,Autumn,5.53,19.80,61.57
43566,5,Spring,3.77,16.51,52.98
57651,2,Spring,1.81,6.95,19.88
69079,2,Spring,1.87,7.80,20.53
24279,2,Summer,1.86,9.94,26.36
76724,4,Summer,4.05,17.29,49.65
80483,2,Winter,1.19,5.17,15.37
75531,3,Spring,2.10,11.22,27.47
69413,3,Autumn,1.94,7.12,26.48
24221,8,Winter,4.41,17.94,61.53
98866,9,Autumn,6.81,29.00,87.38
41707,7,Winter,3.48,14.73,46.71
26325,3,Spring,2.81,12.10,29.69
72368,2,Autumn,1.61,5.65,18.30
34190,3,Summer,3.09,11.85,45.04
97057,6,Spring,4.85,25.19,59.00
35939,2,Spring,1.58,6.26,18.06
59127,3,Summer,2.94,13.98,44.18
84471,7,Summer,6.26,27.95,95.39
85083,6,Winter,2.76,12.74,40.07
12576,4,Winter,1.98,8.66,26.78
45203,5,Winter,2.25,9.38,35.08
89184,6,Summer,6.17,27.51,75.17
40440,4,Autumn,3.10,12.84,40.14
40739,5,Summer,4.74,24.26,67.41
58337,3,Autumn,1.65,8.02,26.80
75968,6,Winter,3.53,14.98,39.28
33338,2,Summer,1.65,7.50,26.22
82571,4,Winter,1.97,10.52,29.61
72776,8,Spring,5.91,26.93,85.34
70675,7,Spring,4.83,26.53,70.71
41973,4,Spring,3.03,16.68,38.38
19901,9,Winter,4.67,23.47,58.17
86529,8,Spring,6.79,24.85,81.98
82418,6,Winter,2.74,12.34,33.56
79602,7,Winter,3.31,15.90,45.11
48699,3,Autumn,1.90,8.73,22.57
61789,8,Winter,3.93,17.74,45.30
68443,3,Spring,2.51,11.49,30.09
48581,2,Autumn,1.30,5.98,16.01
29510,2,Spring,1.69,7.55,19.82
11314,2,Summer,1.98,8.26,28.54
37731,2,Summer,2.08,7.44,21.83
33828,5,Spring,4.17,17.74,55.53
80637,7,Autumn,4.90,18.29,63.15
77733,5,Winter,2.87,12.67,39.96
49676,9,Winter,4.71,19.62,60.80
51222,6,Spring,5.21,21.80,73.14
22977,2,Summer,2.04,8.41,28.34
36420,3,Autumn,2.06,8.87,30.54
77807,9,Spring,6.51,32.00,99.57
25307,3,Spring,2.34,10.38,30.39
59285,8,Summer,8.61,37.18,113.75
95692,3,Winter,1.44,6.66,18.68
72837,3,Spring,2.52,11.60,29.51
86514,7,Summer,6.58,30.51,97.65
38142,3,Winter,1.62,6.79,16.13
53488,8,Autumn,5.23,19.96,57.23
32044,4,Summer,4.44,17.70,57.98
39747,4,Winter,1.99,9.35,26.68
37151,7,Autumn,4.65,18.07,52.27
44659,3,Autumn,2.02,8.77,27.68
68262,7,Autumn,4.38,17.74,56.20
47228,3,Winter,1.58,6.19,20.81
24413,2,Summer,1.95,8.88,23.99
42856,4,Spring,3.52,12.34,37.46
11917,3,Spring,2.44,10.73,30.03
30687,6,Autumn,3.31,14.26,45.64
48469,5,Autumn,3.63,14.46,43.83
59761,5,Summer,5.16,23.35,58.61
86767,4,Autumn,2.42,10.80,36.34
33022,7,Autumn,4.14,20.63,63.14
43736,7,Autumn,4.21,20.38,55.39
24220,4,Spring,3.07,15.15,51.05
77165,4,Summer,3.36,17.91,41.95
69932,7,Summer,6.49,27.63,101.88
33936,4,Spring,3.02,13.02,47.68
90166,4,Summer,4.18,16.65,45.17
74313,9,Summer,10.31,38.74,124.40
89314,9,Summer,9.85,40.36,119.13
54342,5,Summer,4.88,21.18,59.21
68951,7,Spring,6.01,23.28,73.17
40123,2,Autumn,1.17,4.87,16.54
60540,5,Summer,5.40,18.49,61.42
63810,4,Summer,3.59,19.72,50.21
64627,7,Summer,7.30,25.00,75.69
37879,6,Spring,5.29,20.74,60.94
72848,4,Autumn,3.18,12.10,36.18
27257,8,Winter,3.86,16.63,47.54
30867,8,Spring,5.93,25.17,79.05
53866,4,Winter,2.08,8.66,31.14
35967,4,Winter,2.46,10.48,28.96
67963,2,Summer,2.00,8.50,26.69
12101,9,Winter,4.77,22.19,60.58
61420,3,Spring,2.76,12.07,32.94
12834,8,Spring,6.88,34.27,88.62
80163,3,Summer,3.02,12.18,39.31
69233,8,Spring,6.07,31.44,73.74
85819,3,Spring,2.47,8.97,28.96
